time,heal_vx,heal_vy,heal_vz,heal_wx,heal_wy,heal_wz,fr3_vx,fr3_vy,fr3_vz,fr3_wx,fr3_wy,fr3_wz
1756190902.151928,0.117210,-0.006265,-0.043359,-0.026897,-0.013996,0.015372,0.011175,0.133379,-0.060253,-0.005927,0.064135,0.040869
1756190902.155415,0.117210,-0.006265,-0.043359,-0.026897,-0.013996,0.015372,0.011175,0.133379,-0.060253,-0.005927,0.064135,0.040869
1756190902.162956,0.117210,-0.006265,-0.043359,-0.026897,-0.013996,0.015372,0.011175,0.133379,-0.060253,-0.005927,0.064135,0.040869
1756190902.164222,0.117210,-0.006265,-0.043359,-0.026897,-0.013996,0.015372,0.011175,0.133379,-0.060253,-0.005927,0.064135,0.040869
1756190902.171223,0.117225,-0.006266,-0.043365,-0.026900,-0.013998,0.015374,0.011171,0.133367,-0.060243,-0.005924,0.064106,0.040862
1756190902.172044,0.117225,-0.006266,-0.043365,-0.026900,-0.013998,0.015374,0.011171,0.133367,-0.060243,-0.005924,0.064106,0.040862
1756190902.181379,0.117146,-0.006285,-0.043321,-0.026860,-0.014000,0.015398,0.011179,0.133471,-0.060290,-0.005928,0.064150,0.040889
1756190902.182252,0.117146,-0.006285,-0.043321,-0.026860,-0.014000,0.015398,0.011179,0.133471,-0.060290,-0.005928,0.064150,0.040889
1756190902.191788,0.117146,-0.006285,-0.043321,-0.026860,-0.014000,0.015398,0.011179,0.133471,-0.060290,-0.005928,0.064150,0.040889
1756190902.192082,0.117146,-0.006285,-0.043321,-0.026860,-0.014000,0.015398,0.011179,0.133471,-0.060290,-0.005928,0.064150,0.040889
1756190902.201699,0.117146,-0.006285,-0.043321,-0.026860,-0.014000,0.015398,0.011179,0.133471,-0.060290,-0.005928,0.064150,0.040889
1756190902.201999,0.117146,-0.006285,-0.043321,-0.026860,-0.014000,0.015398,0.011179,0.133471,-0.060290,-0.005928,0.064150,0.040889
1756190902.211642,0.117155,-0.006264,-0.043295,-0.026891,-0.013976,0.015367,0.011181,0.133493,-0.060300,-0.005929,0.064159,0.040895
1756190902.212025,0.117155,-0.006264,-0.043295,-0.026891,-0.013976,0.015367,0.018244,0.217788,-0.098379,-0.009103,0.098511,0.062786
1756190902.223277,0.117166,-0.006265,-0.043299,-0.026893,-0.013978,0.015368,0.011176,0.133480,-0.060298,-0.005930,0.064158,0.040890
1756190902.224036,0.117166,-0.006265,-0.043299,-0.026893,-0.013978,0.015368,0.011176,0.133480,-0.060298,-0.005930,0.064158,0.040890
1756190902.232086,0.117166,-0.006265,-0.043299,-0.026893,-0.013978,0.015368,0.011176,0.133480,-0.060298,-0.005930,0.064158,0.040890
1756190902.232378,0.117166,-0.006265,-0.043299,-0.026893,-0.013978,0.015368,0.011176,0.133480,-0.060298,-0.005930,0.064158,0.040890
1756190902.241466,0.117166,-0.006265,-0.043299,-0.026893,-0.013978,0.015368,0.011176,0.133480,-0.060298,-0.005930,0.064158,0.040890
1756190902.241979,0.117166,-0.006265,-0.043299,-0.026893,-0.013978,0.015368,0.011176,0.133480,-0.060298,-0.005930,0.064158,0.040890
1756190902.251275,0.117228,-0.006263,-0.043363,-0.026903,-0.013982,0.015357,0.011167,0.133367,-0.060247,-0.005926,0.064112,0.040860
1756190902.251550,0.117228,-0.006263,-0.043363,-0.026903,-0.013982,0.015357,0.011167,0.133367,-0.060247,-0.005926,0.064112,0.040860
1756190902.261374,0.117215,-0.006262,-0.043358,-0.026900,-0.013980,0.015355,0.018237,0.217699,-0.098347,-0.009099,0.098491,0.062764
1756190902.261517,0.117215,-0.006262,-0.043358,-0.026900,-0.013980,0.015355,0.011172,0.133380,-0.060256,-0.005923,0.064127,0.040866
1756190902.271751,0.117215,-0.006262,-0.043358,-0.026900,-0.013980,0.015355,0.011172,0.133380,-0.060256,-0.005923,0.064127,0.040866
1756190902.272191,0.117215,-0.006262,-0.043358,-0.026900,-0.013980,0.015355,0.018237,0.217699,-0.098347,-0.009099,0.098491,0.062764
1756190902.281696,0.117217,-0.006264,-0.043358,-0.026977,-0.013986,0.015368,0.011178,0.133383,-0.060259,-0.005922,0.064111,0.040871
1756190902.282146,0.117217,-0.006264,-0.043358,-0.026977,-0.013986,0.015368,0.011178,0.133383,-0.060259,-0.005922,0.064111,0.040871
1756190902.291459,0.117217,-0.006264,-0.043358,-0.026977,-0.013986,0.015368,0.011178,0.133383,-0.060259,-0.005922,0.064111,0.040871
1756190902.292359,0.117217,-0.006264,-0.043358,-0.026977,-0.013986,0.015368,0.011178,0.133383,-0.060259,-0.005922,0.064111,0.040871
1756190902.301468,0.117217,-0.006264,-0.043358,-0.026977,-0.013986,0.015368,0.011178,0.133383,-0.060259,-0.005922,0.064111,0.040871
1756190902.302027,0.117217,-0.006264,-0.043358,-0.026977,-0.013986,0.015368,0.011178,0.133383,-0.060259,-0.005922,0.064111,0.040871
1756190902.311422,0.117173,-0.006266,-0.043313,-0.026877,-0.013949,0.015344,0.011185,0.133466,-0.060296,-0.005925,0.064145,0.040893
1756190902.311970,0.117173,-0.006266,-0.043313,-0.026877,-0.013949,0.015344,0.011185,0.133466,-0.060296,-0.005925,0.064145,0.040893
