time,lambda_star_Fx,lambda_star_Fy,lambda_star_Fz,meas_Fx,meas_Fy,meas_Fz
1756188356.142168,-7.0,0.0,0.0,0.0,0.0,0.0
1756188356.1923006,-7.0,0.0,0.0,-6.590000000000001,0.0,0.0
1756188356.252361,-7.0,0.0,0.0,-5.7299999999999995,0.0,0.0
1756188356.3122432,-7.0,0.0,0.0,-6.3500000000000005,0.0,0.0
1756188356.3623126,-7.0,0.0,0.0,-6.569999999999999,0.0,0.0
1756188356.4223032,-7.0,0.0,0.0,-7.21,0.0,0.0
1756188356.4824505,-7.0,0.0,0.0,-6.330000000000001,0.0,0.0
1756188356.5422387,-7.0,0.0,0.0,-7.2299999999999995,0.0,0.0
1756188356.592309,-7.0,0.0,0.0,-7.61,0.0,0.0
1756188356.6523547,-7.0,0.0,0.0,-7.31,0.0,0.0
1756188356.712228,-7.0,0.0,0.0,-6.63,0.0,0.0
1756188356.7622604,-7.0,0.0,0.0,-6.590000000000001,0.0,0.0
1756188356.8222487,-7.0,0.0,0.0,-6.19,0.0,0.0
1756188356.8722637,-7.0,0.0,0.0,-9.73,0.0,0.0
1756188356.922355,-7.0,0.0,0.0,-9.71,0.0,0.0
1756188356.9725304,-7.0,0.0,0.0,-4.3500000000000005,0.0,0.0
1756188357.0323102,-7.0,0.0,0.0,-4.090000000000001,0.0,0.0
1756188357.0922892,-7.0,0.0,0.0,-8.39,0.0,0.0
1756188357.1526544,-7.0,0.0,0.0,-8.91,0.0,0.0
1756188357.2122386,-7.0,0.0,0.0,-5.87,0.0,0.0
1756188357.2622416,-7.0,0.0,0.0,-5.31,0.0,0.0
1756188357.3122492,-7.0,0.0,0.0,-6.569999999999999,0.0,0.0
1756188357.362317,-7.0,0.0,0.0,-8.45,0.0,0.0
1756188357.4222388,-7.0,0.0,0.0,-9.07,0.0,0.0
1756188357.4836237,-7.0,0.0,0.0,-5.930000000000001,0.0,0.0
1756188357.5422325,-7.0,0.0,0.0,-4.670000000000001,0.0,0.0
1756188357.5924692,-7.0,0.0,0.0,-7.1499999999999995,0.0,0.0
1756188357.6522431,-7.0,0.0,0.0,-8.969999999999999,0.0,0.0
1756188357.7022545,-7.0,0.0,0.0,-8.21,0.0,0.0
1756188357.7531295,-7.0,0.0,0.0,-6.55,0.0,0.0
1756188357.812245,-7.0,0.0,0.0,-4.6499999999999995,0.0,0.0
1756188357.862266,-7.0,0.0,0.0,-6.21,0.0,0.0
1756188357.9222636,-7.0,0.0,0.0,-8.129999999999999,0.0,0.0
1756188357.9823508,-7.0,0.0,0.0,-8.850000000000001,0.0,0.0
1756188358.0422275,-7.0,0.0,0.0,-4.510000000000001,0.0,0.0
1756188358.0922916,-7.0,0.0,0.0,-3.21,0.0,0.0
1756188358.1522408,-7.0,0.0,0.0,-9.07,0.0,0.0
1756188358.2122717,-7.0,0.0,0.0,-9.490000000000002,0.0,0.0
1756188358.2622807,-7.0,0.0,0.0,-8.309999999999999,0.0,0.0
1756188358.312299,-7.0,0.0,0.0,-3.3099999999999996,0.0,0.0
1756188358.3722281,-7.0,0.0,0.0,-7.31,0.0,0.0
1756188358.4223764,-7.0,0.0,0.0,-10.57,0.0,0.0
1756188358.4827616,-7.0,0.0,0.0,-11.830000000000002,0.0,0.0
1756188358.5422332,-7.0,0.0,0.0,-1.830000000000001,0.0,0.0
1756188358.5922508,-7.0,0.0,0.0,-4.69,0.0,0.0
1756188358.652248,-7.0,0.0,0.0,-10.25,0.0,0.0
1756188358.712313,-7.0,0.0,0.0,-7.989999999999999,0.0,0.0
1756188358.772271,-7.0,0.0,0.0,-8.23,0.0,0.0
1756188358.822302,-7.0,0.0,0.0,-4.53,0.0,0.0
1756188358.8822856,-7.0,0.0,0.0,-6.11,0.0,0.0
1756188358.9425917,-7.0,0.0,0.0,-9.59,0.0,0.0
1756188359.0023053,-7.0,0.0,0.0,-9.190000000000001,0.0,0.0
1756188359.0622382,-7.0,0.0,0.0,-5.430000000000001,0.0,0.0
1756188359.1222687,-7.0,0.0,0.0,-5.989999999999999,0.0,0.0
1756188359.1822345,-7.0,0.0,0.0,-9.690000000000001,0.0,0.0
1756188359.2322433,-7.0,0.0,0.0,-9.45,0.0,0.0
1756188359.2822652,-7.0,0.0,0.0,-6.1499999999999995,0.0,0.0
1756188359.342243,-7.0,0.0,0.0,-4.409999999999999,0.0,0.0
1756188359.392332,-7.0,0.0,0.0,-5.7700000000000005,0.0,0.0
1756188359.4522266,-7.0,0.0,0.0,-8.870000000000001,0.0,0.0
1756188359.502389,-7.0,0.0,0.0,-8.93,0.0,0.0
1756188359.5622776,-7.0,0.0,0.0,-6.2299999999999995,0.0,0.0
1756188359.6224122,-7.0,0.0,0.0,-5.11,0.0,0.0
1756188359.682244,-7.0,0.0,0.0,-6.71,0.0,0.0
1756188359.7422407,-7.0,0.0,0.0,-10.27,0.0,0.0
1756188359.792255,-7.0,0.0,0.0,-8.030000000000001,0.0,0.0
1756188359.8522382,-7.0,0.0,0.0,-5.170000000000001,0.0,0.0
1756188359.902249,-7.0,0.0,0.0,-2.8899999999999997,0.0,0.0
1756188359.9522715,-7.0,0.0,0.0,-7.05,0.0,0.0
1756188360.0122514,-7.0,0.0,0.0,-9.790000000000003,0.0,0.0
1756188360.0622776,-7.0,0.0,0.0,-11.350000000000001,0.0,0.0
1756188360.1224577,-7.0,0.0,0.0,-4.590000000000001,0.0,0.0
1756188360.1822588,-7.0,0.0,0.0,-4.8500000000000005,0.0,0.0
1756188360.2422442,-7.0,0.0,0.0,-9.21,0.0,0.0
1756188360.2922533,-7.0,0.0,0.0,-8.79,0.0,0.0
1756188360.352248,-7.0,0.0,0.0,-6.3500000000000005,0.0,0.0
1756188360.402256,-7.0,0.0,0.0,-4.510000000000001,0.0,0.0
1756188360.4531121,-7.0,0.0,0.0,-5.87,0.0,0.0
1756188360.5122902,-7.0,0.0,0.0,-9.490000000000002,0.0,0.0
1756188360.572248,-7.0,0.0,0.0,-9.490000000000002,0.0,0.0
1756188360.6222863,-7.0,0.0,0.0,-7.8500000000000005,0.0,0.0
1756188360.683492,-7.0,0.0,0.0,-5.11,0.0,0.0
1756188360.7422366,-7.0,0.0,0.0,-6.21,0.0,0.0
1756188360.7923176,-7.0,0.0,0.0,-9.39,0.0,0.0
1756188360.852251,-7.0,0.0,0.0,-8.969999999999999,0.0,0.0
1756188360.9022543,-7.0,0.0,0.0,-6.930000000000001,0.0,0.0
1756188360.9526458,-7.0,0.0,0.0,-4.87,0.0,0.0
1756188361.0122857,-7.0,0.0,0.0,-4.7700000000000005,0.0,0.0
