time,lambda_star_Fx,lambda_star_Fy,lambda_star_Fz,meas_Fx,meas_Fy,meas_Fz
1756161564.0382352,-7.0,0.0,0.0,-0.3100000000000005,0.0,0.0
1756161564.0883963,-7.0,0.0,0.0,-0.27000000000000046,0.0,0.0
1756161564.1384678,-7.0,0.0,0.0,-0.7700000000000005,0.0,0.0
1756161564.2004309,-7.0,0.0,0.0,-1.1500000000000004,0.0,0.0
1756161564.2583656,-7.0,0.0,0.0,-0.3700000000000001,0.0,0.0
1756161564.3085444,-7.0,0.0,0.0,-0.75,0.0,0.0
1756161564.3688078,-7.0,0.0,0.0,-4.47,0.0,0.0
1756161564.4283788,-7.0,0.0,0.0,-8.23,0.0,0.0
1756161564.4883966,-7.0,0.0,0.0,-6.510000000000001,0.0,0.0
1756161564.5384393,-7.0,0.0,0.0,-5.81,0.0,0.0
1756161564.5983503,-7.0,0.0,0.0,-5.750000000000001,0.0,0.0
1756161564.648419,-7.0,0.0,0.0,-7.61,0.0,0.0
1756161564.708575,-7.0,0.0,0.0,-8.73,0.0,0.0
1756161564.7685618,-7.0,0.0,0.0,-8.11,0.0,0.0
1756161564.8283207,-7.0,0.0,0.0,-5.81,0.0,0.0
1756161564.8783329,-7.0,0.0,0.0,-6.1499999999999995,0.0,0.0
1756161564.9283533,-7.0,0.0,0.0,-7.19,0.0,0.0
1756161564.9784276,-7.0,0.0,0.0,-7.909999999999999,0.0,0.0
1756161565.0462074,-7.0,0.0,0.0,-7.7299999999999995,0.0,0.0
1756161565.098381,-7.0,0.0,0.0,-7.2299999999999995,0.0,0.0
1756161565.1484377,-7.0,0.0,0.0,-6.2700000000000005,0.0,0.0
1756161565.2084382,-7.0,0.0,0.0,-6.569999999999999,0.0,0.0
1756161565.268356,-7.0,0.0,0.0,-6.750000000000001,0.0,0.0
1756161565.318745,-7.0,0.0,0.0,-7.05,0.0,0.0
1756161565.3791184,-7.0,0.0,0.0,-7.930000000000001,0.0,0.0
1756161565.4384449,-7.0,0.0,0.0,-6.55,0.0,0.0
1756161565.4885738,-7.0,0.0,0.0,-7.05,0.0,0.0
1756161565.5483663,-7.0,0.0,0.0,-7.090000000000001,0.0,0.0
1756161565.608535,-7.0,0.0,0.0,-6.87,0.0,0.0
1756161565.6683152,-7.0,0.0,0.0,-7.53,0.0,0.0
1756161565.718448,-7.0,0.0,0.0,-6.47,0.0,0.0
1756161565.7784097,-7.0,0.0,0.0,-6.090000000000001,0.0,0.0
1756161565.8383632,-7.0,0.0,0.0,-6.39,0.0,0.0
1756161565.8884354,-7.0,0.0,0.0,-7.39,0.0,0.0
1756161565.9483182,-7.0,0.0,0.0,-7.79,0.0,0.0
1756161565.9983704,-7.0,0.0,0.0,-7.250000000000001,0.0,0.0
1756161566.0483792,-7.0,0.0,0.0,-6.81,0.0,0.0
1756161566.0996072,-7.0,0.0,0.0,-6.250000000000001,0.0,0.0
1756161566.1583242,-7.0,0.0,0.0,-8.330000000000002,0.0,0.0
1756161566.2084122,-7.0,0.0,0.0,-7.430000000000001,0.0,0.0
1756161566.2684102,-7.0,0.0,0.0,-7.510000000000001,0.0,0.0
1756161566.3193908,-7.0,0.0,0.0,-5.31,0.0,0.0
1756161566.3783517,-7.0,0.0,0.0,-4.750000000000001,0.0,0.0
1756161566.4383214,-7.0,0.0,0.0,-7.79,0.0,0.0
1756161566.4883254,-7.0,0.0,0.0,-9.25,0.0,0.0
1756161566.5385506,-7.0,0.0,0.0,-7.909999999999999,0.0,0.0
1756161566.588573,-7.0,0.0,0.0,-5.87,0.0,0.0
1756161566.6483614,-7.0,0.0,0.0,-5.97,0.0,0.0
1756161566.6985672,-7.0,0.0,0.0,-7.19,0.0,0.0
1756161566.7583086,-7.0,0.0,0.0,-8.370000000000001,0.0,0.0
